level	syncretism_group	lexeme_id	form	n_cells	cells	past_cells	cross_tense	binyan
vocalized	LX-03e43d6791:V1	LX-03e43d6791	תְּמַקֵּם	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-03e43d6791:V2	LX-03e43d6791	תְּמַקֵּמְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-04041d6ade:V1	LX-04041d6ade	מָלֵא	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-04041d6ade:V2	LX-04041d6ade	תִּמְלָא	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-04041d6ade:V3	LX-04041d6ade	תִּמְלֶאנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-041a1e9a8f:V1	LX-041a1e9a8f	תְּתַלְתֵּל	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-041a1e9a8f:V2	LX-041a1e9a8f	תְּתַלְתֵּלְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-042da2e637:V1	LX-042da2e637	תֹּאמַר	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-042da2e637:V2	LX-042da2e637	תֹּאמַרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-04565cf696:V1	LX-04565cf696	תְּטַנֵּף	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-04565cf696:V2	LX-04565cf696	תְּטַנֵּפְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-046387da42:V1	LX-046387da42	הִתְלַכְלֵךְ	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	
vocalized	LX-046387da42:V2	LX-046387da42	הִתְלַכְלְכוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	
vocalized	LX-046387da42:V3	LX-046387da42	תִּתְלַכְלֵךְ	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-046387da42:V4	LX-046387da42	תִּתְלַכְלֵכְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-0502c68f82:V1	LX-0502c68f82	תִּרְמֹז	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0502c68f82:V2	LX-0502c68f82	תִּרְמֹזְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-050661ec9d:V1	LX-050661ec9d	בָּס	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-055a7768b7:V1	LX-055a7768b7	תִּפְטֹר	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-055a7768b7:V2	LX-055a7768b7	תִּפְטֹרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-059f1efcac:V1	LX-059f1efcac	תִּמְשֹׁךְ	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-059f1efcac:V2	LX-059f1efcac	תִּמְשֹׁכְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-05b424973a:V1	LX-05b424973a	תְּגַבֶּה	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-05b424973a:V2	LX-05b424973a	תְּגַבֶּינָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-05b4d79f2d:V1	LX-05b4d79f2d	שָׁף	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-05b4d79f2d:V2	LX-05b4d79f2d	שָׁפָה	2	PST.3FSG|PRS.FSG	PST.3FSG	True	PAAL
vocalized	LX-05b4d79f2d:V3	LX-05b4d79f2d	תָּשׁוּף	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-05b4d79f2d:V4	LX-05b4d79f2d	תָּשֹׁפְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-060a887b96:V1	LX-060a887b96	תַּעֲנֶה	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-060a887b96:V2	LX-060a887b96	תַּעֲנֶינָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-066e3c4444:V1	LX-066e3c4444	תִּטְעַן	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-066e3c4444:V2	LX-066e3c4444	תִּטְעַנָּה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-06d7302519:V1	LX-06d7302519	תֵּאָהֵד	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-06d7302519:V2	LX-06d7302519	תֵּאָהֵדְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-0718c7cad2:V1	LX-0718c7cad2	הִתְעַקֵּשׁ	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	
vocalized	LX-0718c7cad2:V2	LX-0718c7cad2	הִתְעַקְּשׁוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	
vocalized	LX-0718c7cad2:V3	LX-0718c7cad2	תִּתְעַקֵּשׁ	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-0718c7cad2:V4	LX-0718c7cad2	תִּתְעַקֵּשְׁנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-073639b610:V1	LX-073639b610	תִּכָּרֵת	2	FUT.2MSG|FUT.3FSG		False	NIFAL
vocalized	LX-073639b610:V2	LX-073639b610	תִּכָּרֵתְנָה	2	FUT.2FPL|FUT.3FPL		False	NIFAL
vocalized	LX-073fc756b3:V1	LX-073fc756b3	תְּמַתֵּן	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-073fc756b3:V2	LX-073fc756b3	תְּמַתֵּנָּה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-07447c1f05:V1	LX-07447c1f05	תְּשַׁקֵּר	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-07447c1f05:V2	LX-07447c1f05	תְּשַׁקֵּרְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-07cb60a837:V1	LX-07cb60a837	תְּצַנֵּן	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-07cb60a837:V2	LX-07cb60a837	תְּצַנֵּנָּה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0860796507:V1	LX-0860796507	תַּשְׁלִיט	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-0860796507:V2	LX-0860796507	תַּשְׁלֵטְנָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-08ab7f012d:V1	LX-08ab7f012d	תִּשְׁאַל	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-08ab7f012d:V2	LX-08ab7f012d	תִּשְׁאַלְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-08bd18db60:V1	LX-08bd18db60	תִּתְפֹּר	2	FUT.2MSG|FUT.3FSG		False	PAAL
