duplicate_type	record_ids	lemma	details
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-476b8a962e|LX-8249c86584	בָּזָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0a3565f373|LX-6c1729499c	בָּנָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0a3565f373|LX-6c1729499c	בָּנוּ	cells PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-6a5d73ad1f|LX-cb3cae2754	גָּרוּ	cells IMP.2MPL|PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-cb3cae2754|LX-f09e5ec94e	גּוּר	cells IMP.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-0fc1f0960a|LX-11f8f3b455	הֲטָבָה	cells MSDR
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-47ab8e5eda|LX-993161330e	הִשְׁתַּנּוּ	cells IMP.2MPL|PST.1PL|PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכְּחִי	cells IMP.2FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכְּחָה	cells PST.3FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכְּחוּ	cells IMP.2MPL|PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכֵּחַ	cells IMP.2MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְנָה	cells IMP.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְנוּ	cells PST.1PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְתְּ	cells PST.2FSG
